from,to,year,type,pps,effect
AZO,VFB,2015,2,"1,6",0.5
MW,FCA,2012,2,"0,2",1
JLU,VFB,2016,2,0,1
MW,S04,2016,2,0,1
ABE,FSVM,2019,2,"1,8",1
JML,FSVM,2019,2,0,1
MSCH,FCK,2019,2,0,1
ENMA,FCA,2022,2,"0,6",1
NK,VFLW,2022,2,"0,4",1
SS,BSC,2022,2,"0,8",1
GS,BMG,2023,2,"0,5",1
FKR,TSGH,2012,2,0,2
KBA,FCKA,2012,2,0,2
MSK,BSC,2012,2,0,2
MWI,FCN,2012,2,"1,2",2
MWIE,FCN,2012,2,"1,2",2
GV,FCN,2013,2,"0,4",2
RPR,FCN,2013,2,"0,25",2
SHY,B04,2013,2,"2,4",2
AVE,VFB,2014,2,"0,2",2
ROS,B04,2014,2,2,2
RPR,FCN,2014,2,0,2
HS,TSGH,2015,2,"0,8",2
PKN,HSV,2015,2,0,2
TS,H96,2015,2,0,2
DSCH,FCA,2016,2,"1,4",2
NM,SVD,2016,2,"0,8",2
HH,B04,2017,2,"0,8",2
SS,FSVM,2017,2,"0,6",2
TK,B04,2017,2,1,2
BLAB,VFLW,2018,2,"0,4",2
MW,VFB,2018,2,"0,6",2
ACO,BSC,2019,2,"0,8",2
OG,VFLW,2019,2,"1,8",2
JML,FSVM,2020,2,"0,2",2
AH,BMG,2021,2,"0,8",2
DT,RBL,2021,2,2,2
MR,BVB,2021,2,"2,4",2
OG,SGE,2021,2,"0,8",2
PD,BSC,2021,2,"0,2",2
SB,FCK,2021,2,"1,6",2
BLAB,VFB,2022,2,"0,4",2
DTO,SGE,2023,2,"1,5",2
PM,TSGH,2023,2,0,2
MBAB,TSGH,2012,2,"1,2",3
PGU,FCB,2013,2,"2,6",3
KH,FSVM,2014,2,"1,8",3
MG,HSV,2016,2,"0,2",3
MKAU,FCI,2016,2,"0,2",3
NK,SGE,2016,2,"0,6",3
RBER,SVD,2016,2,0,3
BSCH,FCN,2019,2,"0,2",3
MSC,FCA,2019,2,"1,4",3
